Timestamp,Open,High,Low,Close,Volume
2024-12-24 16:59:00,465.1300,465.3500,465.1300,465.2100,9994
2024-12-24 16:58:00,465.0100,465.1900,465.0000,465.1100,3942
2024-12-24 16:57:00,465.2000,465.2300,465.0000,465.0100,8362
2024-12-24 16:56:00,465.0500,465.3000,465.0000,465.1500,5498
2024-12-24 16:55:00,465.1200,465.1900,465.0000,465.0900,7761
2024-12-24 16:54:00,465.3099,465.3500,465.0000,465.1700,4947
2024-12-24 16:53:00,465.3500,465.4000,465.1100,465.2600,4894
2024-12-24 16:52:00,465.2100,465.4000,465.2000,465.4000,4175
2024-12-24 16:51:00,465.1300,465.2800,465.1200,465.2800,6890
2024-12-24 16:50:00,465.0999,465.1300,465.0500,465.1300,6044
2024-12-24 16:49:00,465.0800,465.1500,465.0200,465.0500,2531
2024-12-24 16:48:00,465.0300,465.2000,465.0100,465.0799,1971
2024-12-24 16:47:00,465.0450,465.0900,465.0100,465.0300,3099
2024-12-24 16:46:00,465.0650,465.1000,465.0000,465.0500,1387
2024-12-24 16:45:00,464.9500,465.1400,464.9400,465.0112,2812
2024-12-24 16:44:00,464.9500,464.9700,464.8800,464.9500,2439
2024-12-24 16:43:00,464.8900,465.0000,464.8800,464.9500,1686
2024-12-24 16:42:00,464.8900,464.9412,464.8200,464.8600,1264
2024-12-24 16:41:00,464.8200,464.9000,464.8200,464.8200,1910
2024-12-24 16:40:00,464.8400,464.9000,464.8000,464.8500,1298
2024-12-24 16:39:00,464.9700,465.0000,464.8000,464.8000,3205
2024-12-24 16:38:00,464.9500,465.0000,464.9200,464.9600,702
2024-12-24 16:37:00,464.9200,465.0600,464.9200,464.9500,1207
2024-12-24 16:36:00,464.9800,465.0600,464.9000,464.9750,708
2024-12-24 16:35:00,465.1500,465.1819,464.9000,464.9000,4213
2024-12-24 16:34:00,465.1600,465.2000,465.1200,465.1500,791
2024-12-24 16:33:00,465.1700,465.2200,465.1200,465.1900,3382
2024-12-24 16:32:00,465.1500,465.2200,465.1500,465.2200,3883
2024-12-24 16:31:00,465.1800,465.2100,465.1000,465.1600,4381
2024-12-24 16:30:00,465.0800,465.2000,464.9700,465.1820,2008
2024-12-24 16:29:00,464.8800,465.2000,464.8100,465.0761,5156
2024-12-24 16:28:00,464.9400,465.0000,464.8100,464.9300,3214
2024-12-24 16:27:00,464.8550,464.9400,464.8000,464.9400,972
2024-12-24 16:26:00,464.8400,464.9400,464.8000,464.8500,1921
2024-12-24 16:25:00,464.8900,464.8900,464.8000,464.8300,1072
2024-12-24 16:24:00,464.8750,464.9000,464.7100,464.8150,1224
2024-12-24 16:23:00,464.8000,464.9500,464.7100,464.8350,1146
2024-12-24 16:22:00,464.8000,465.0000,464.7100,464.7100,1092
2024-12-24 16:21:00,464.8200,464.9000,464.7100,464.7600,1319
2024-12-24 16:20:00,464.8100,464.9700,464.7000,464.7500,916
2024-12-24 16:19:00,464.7200,464.9400,464.6392,464.7900,1266
2024-12-24 16:18:00,464.7900,464.9200,464.6000,464.7800,1490
2024-12-24 16:17:00,464.7000,464.8100,464.0201,464.7900,2933
2024-12-24 16:16:00,464.9692,464.9692,464.6000,464.7000,3250
2024-12-24 16:15:00,464.9100,465.0000,464.8000,464.9400,1371
2024-12-24 16:14:00,464.9900,465.1900,464.8000,465.0199,8553
2024-12-24 16:13:00,464.9000,465.0000,464.8800,465.0000,4343
2024-12-24 16:12:00,464.9000,464.9900,464.8500,464.8800,1632
2024-12-24 16:11:00,464.9400,464.9896,464.8100,464.9007,2234
2024-12-24 16:10:00,464.9200,464.9500,464.8900,464.9400,1701
2024-12-24 16:09:00,464.9250,464.9500,464.9000,464.9400,2347
2024-12-24 16:08:00,464.9600,464.9800,464.9000,464.9100,2076
2024-12-24 16:07:00,464.9000,465.0000,464.8550,464.9000,3724
2024-12-24 16:06:00,464.8800,464.9000,464.7800,464.8900,1923
2024-12-24 16:05:00,464.9000,464.9000,464.7700,464.7811,1380
2024-12-24 16:04:00,464.7850,464.9000,464.7600,464.8500,2746
2024-12-24 16:03:00,464.7801,464.9000,464.7500,464.7700,3799
2024-12-24 16:02:00,464.8600,464.9000,464.7700,464.8500,1664
2024-12-24 16:01:00,464.9200,464.9900,464.7000,464.8553,4658
2024-12-24 16:00:00,464.9100,464.9800,464.7500,464.8700,4575
2024-12-24 15:59:00,464.8000,464.9500,464.7400,464.9000,5312
2024-12-24 15:58:00,464.6300,464.9000,464.6005,464.8000,7737
2024-12-24 15:57:00,464.6000,464.8800,464.5000,464.6400,4679
2024-12-24 15:56:00,464.6000,464.6500,464.5100,464.5100,8674
2024-12-24 15:55:00,464.7600,464.7600,464.6000,464.6000,3135
2024-12-24 15:54:00,464.8200,464.8800,464.6500,464.7600,3134
2024-12-24 15:53:00,464.8500,464.9000,464.8000,464.8450,4728
2024-12-24 15:52:00,464.8500,464.8650,464.8000,464.8650,2140
2024-12-24 15:51:00,464.8400,464.9600,464.8000,464.8250,2532
2024-12-24 15:50:00,464.8620,464.9400,464.8000,464.8699,3556
2024-12-24 15:49:00,464.7300,464.9400,464.7000,464.9000,2995
